organization_ein,nonprofit_name,irsclassification_nteecode,category,address,city,state,zipcode,website
471525678,Cache Refugee and Immigrant Connection,P84,"Ethnic, Immigrant Centers, Services",429 S MAIN SUITE 1,LOGAN,UT,84321-5207,https://www.cacherefugees.org/
300577219,Carolina Refugee Resettlement Agency Inc.,P84,"Ethnic, Immigrant Centers, Services",5009 MONROE ROAD STE 100,CHARLOTTE,NC,28205-7847,https://carolinarefugee.org/
941498472,"Catholic Charities CYO, Archdiocese of San Francisco",P20,Human Service Organizations - Multipurpose,990 Eddy Street,San Francisco,CA,94109,https://www.catholiccharitiessf.org/
750808769,Catholic Charities Fort Worth,P20,Human Service Organizations - Multipurpose,249 West Thornhill Drive,Fort Worth,TX,76115,https://www.catholiccharitiesfortworth.org/
951690973,Catholic Charities of Los Angeles,P20,Human Service Organizations - Multipurpose,1531 James M. Wood Boulevard,Los Angeles,CA,90015,https://catholiccharitiesla.org/
942762269,Catholic Charities of Santa Clara County,P20,Human Service Organizations - Multipurpose,2625 Zanker Road,San Jose,CA,95134,https://www.catholiccharitiesscc.org/
741109733,Catholic Charities of the Archdiocese of Galveston-Houston,P20,Human Service Organizations - Multipurpose,2900 Louisiana Street,Houston,TX,77006,https://catholiccharities.org/
390806321,Catholic Charities of the Archdiocese of Milwaukee,P20,Human Service Organizations - Multipurpose,3501 South Lake Drive,Saint Francis,WI,53235,https://www.ccmke.org/Catholic-Charities.htm
730636561,Catholic Charities of the Archdiocese of Oklahoma City,,,1232 N Classen Blvd,Oklahoma City,OK,73106,https://catholiccharitiesok.org/
592473176,"Catholic Charities, Diocese of Venice, Inc.",P20,Human Service Organizations - Multipurpose,P.O. Box 2116,Venice,FL,34285,https://catholiccharitiesdov.org/
811843680,Center for African Immigrants and Refugees Organization,P20,Human Service Organizations - Multipurpose,13909 SE STARK ST,PORTLAND,OR,97233-2143,https://cairopdx.org/
760822958,Center for Empowering Refugees Inc.,P42,"Single Parent Agencies, Services",544 INTERNATIONAL BLVD APT 9,OAKLAND,CA,94606-2973,https://www.facebook.com/cerieastbay/
272787747,Center for Refugee Services,P84,"Ethnic, Immigrant Centers, Services",8703 WURZBACH RD STE A-1,SAN ANTONIO,TX,78240-1160,https://sarefugees.org/
112705005,Central American Refugee Center Carecen Ny,P84,"Ethnic, Immigrant Centers, Services",91 N FRANKLIN ST STE 208,HEMPSTEAD,NY,11550-3003,https://www.carecenny.org/
814413468,Central Vermont Refugee Action Network Inc.,P84,"Ethnic, Immigrant Centers, Services",PO BOX 910,MONTPELIER,VT,05601-0910,https://cvran.org/
942943618,Cham Refugee League of the US A Inc.,,,1099 S VAN NESS AVE,SAN FRANCISCO,CA,94110-2615,
911214867,Cham Refugees Community,,,5945 39TH AVE S,SEATTLE,WA,98118-2616,https://www.chamrefugeescommunity.org/
821987978,Champaign-Urbana Friends and Allies of Immigrants and Refugees,W01,Alliance/Advocacy Organizations,201 W KENYON ROAD,CHAMPAIGN,IL,61820-7892,https://www.cu-fair.org/
830977387,Chicago Refugee Coalition,P01,Alliance/Advocacy Organizations,1333 SOUTH WABASH AVENUE,CHICAGO,IL,60605-2549,http://www.chicagorefugee.org/
812702093,Child Refugee Initiative Inc.,O30,"Adult, Child Matching Programs",1441 BROADWAY STE 5037,NEW YORK,NY,10018-1905,http://www.childrefugeeinitiative.org/
833057494,Children of Haiti and Refugee Projects Inc.,P20,Human Service Organizations - Multipurpose,501 SW 2ND AVE,FT LAUDERDALE,FL,33301-2808,"https://www.childrenofhaitiproject.org/#:~:text=The%20Children%20of%20Haiti%20and,in%20Africa%2C%20Jordan%20and%20Israel."
911937903,Christian Relief Services Charities,L21,Public Housing Facilities,8301 Richmond Highway,Alexandria,VA,22309,https://www.christianrelief.org/
134080201,Church World Service,Q33,International Relief,28606 Phillips Street,Elkhart,IN,46515,https://cwsglobal.org/
