organization_ein,nonprofit_name,irsclassification_nteecode,category,address,city,state,zipcode,website
812233661,Refugee Welcome Corporation,L01,Alliance/Advocacy Organizations,488 ELK ST,ALBANY,NY,12206-2401,https://www.rwcwesthill.com/
264375066,Refugee Women in Action,P84,"Ethnic, Immigrant Centers, Services",1391 W 5TH AVE RM/STE 139,COLUMBUS,OH,43212-2902,http://rwia.org/
465416864,Refugee Women Organization of Nebraska,A70,Humanities Organizations,2821 MONROE ST,OMAHA,NE,68107-4147,https://www.facebook.com/refugeewomenorganizationofnebraska/
911296964,Refugee Womens Alliance,P84,"Ethnic, Immigrant Centers, Services",4008 MLK JR WAY,SEATTLE,WA,98108-1623,https://www.rewa.org/
582369796,Refugee Womens Network Inc.,P84,"Ethnic, Immigrant Centers, Services",2900 CHAMBLEE TUCKER RD BLDG 3,ATLANTA,GA,30341-4100,http://refugeewomensnetworkinc.org/
273422068,Refugee-Immigrant Young-Adult Neighbor,P20,Human Service Organizations - Multipurpose,2564 ROCKHILL DR NE,GRAND RAPIDS,MI,49525-1241,https://www.facebook.com/ryanmentor/?comment_id=Y29tbWVudDo4ODY1MTE2MTEzODg3NzhfODg2NTExNjk4MDU1NDM2
43200436,Refugee-Immigration Ministry,Z99,Unknown,6 PLEASANT ST STE 612,MALDEN,MA,02148-5167,http://www.r-i-m.net/
823242931,Refugees and Immigrants Community for Empowerment,P84,"Ethnic, Immigrant Centers, Services",3581 W NORTHERN AVE STE 8,PHOENIX,AZ,85051-9404,http://www.ricecommunityservices.org/
822023971,Refugees Enrichment & Development Association Inc.,P84,"Ethnic, Immigrant Centers, Services",2919 FULTON AVE,SACRAMENTO,CA,95821-4909,https://redacenter.org/refugee/index.php/home/
470848029,Refugees Helping Refugees Inc.,P20,Human Service Organizations - Multipurpose,835 SOUTH AVE,ROCHESTER,NY,14620-2315,https://rhrroc.org/
521224516,Refugees International,Q71,"International Migration, Refugee Issues","1800 M Street, NW",Washington,DC,20036,https://www.google.com/aclk?sa=l&ai=DChcSEwj2mKu0vNTqAhUCnLMKHUt4AIQYABAAGgJxbg&sig=AOD64_2lI8D2Dnqbjoln3r9PD71SAnjMEQ&q=&ved=2ahUKEwjF26K0vNTqAhXyg3IEHf1eAFYQ0Qx6BAgfEAE&adurl=
270692669,Refugees Read Incorporated,Q30,"International Development, Relief Services",1480 E HANSELMAN RD,ANGOLA,IN,46703-8990,
203449871,Refugees Services and Individuals Assistance Corporation,A62,Dance,3 SHABAZZ WA,ROXBURY,MA,02119-0000,https://www.facebook.com/pages/category/Nonprofit-Organization/Refugees-Services-And-Individuals-Assistance-Corporation-2013907355532982/
842585675,Refugees Stories,W12,Fund Raising and/or Fund Distribution,8818 GOODBYS EXECUTIVE DR,JACKSONVILLE,FL,32217-4696,
474839577,Refugees Thrive International,Q33,International Relief,2511 W CULLOM AVE APT 2,CHICAGO,IL,60618-1501,http://www.refugeesthrive.org/
815056885,Refugees to Camp Inc.,T50,"Philanthropy, Charity, Voluntarism Promotion, General",126 WELLINGTON AVE,ALBANY,NY,12203-2638,
263174684,Refugees United Foundation USA,Q33,International Relief,155 MONTGOMERY ST FL12,SAN FRANCISCO,CA,94104-4105,https://refunite.org/contact/
814651313,Refugees Welcome,S02,Management & Technical Assistance,100 WILLIAM T MORRISSEY BLVD,BOSTON,MA,02125-3300,https://refugeeswelcomehome.org/
260239864,Refushe Inc.,Q33,International Relief,1111 N WELLS ST STE 307,CHICAGO,IL,60610-7595,https://www.refushe.org/
474237059,Rohingya Refugee Education Fund,Q30,"International Development, Relief Services",408 FIELDSTON RD,BELLINGHAM,WA,98225-7824,http://rohingyafund.org/
834437163,Ruths Refuge Inc.,P20,Human Service Organizations - Multipurpose,130 FENIMORE ST APT 3I,BROOKLYN,NY,11225-5300,https://www.ruthsrefuge.org/about
465426528,Safari Homes & Refugee Services Inc.,S20,"Community, Neighborhood Development, Improvement (General)",4854 S 20TH ST,MILWAUKEE,WI,53221-2811,
821998118,San Diego Refugee Tutoring,P20,Human Service Organizations - Multipurpose,4903 DAFTER PL,SAN DIEGO,CA,92102-1309,https://sdrefugeetutoring.com/
814438145,San Fernando Valley Refugee Children Center Inc.,P50,Personal Social Services,15435 RAYEN ST,NORTH HILLS,CA,91343-5119,https://www.noestassolonorthhills.org/
274057046,Schools for Refugees,Q33,International Relief,45 EASTERN PROMENADE APT 9H,PORTLAND,ME,04101-4823,https://schoolsforrefugees.org/
800284986,Schools for Shan Refugees Inc.,B99,Education N.E.C.,2928 DEAN PKWY APT 3A,MINNEAPOLIS,MN,55416-4426,http://shanrefugeeschools.org/
821941353,Seeking Asylum & Finding Empowerment Inc.,I80,Legal Services,3556 79TH ST APT 53,JACKSON HTS,NY,11372-4840,https://www.safeasylum.org/
200638718,"Sewa International, Inc",P20,Human Service Organizations - Multipurpose,100 W Oaks Mall,Houston,TX,77082,https://sewausa.org/
473727356,Society of Iranian Refugees,Q71,"International Migration, Refugee Issues",1108 ODYSSEY CT,SAN JOSE,CA,95118-2772,https://www.facebook.com/fordelaram/
472210459,Society of North American Refugee Healthcare Providers,B03,"Professional Societies, Associations",172 COLBY ST,SPENCERPORT,NY,14559-9711,http://refugeesociety.org/
463794186,Somali-Bantu Refugees Community Association Inc.,P20,Human Service Organizations - Multipurpose,127 BAKER AVENUE APT 2,SYRACUSE,NY,13205-1101,https://cnycf.org/sslpage.aspx?pid=703
411729008,Southeast Asian Refugee Community Home-Search,J20,"Employment Procurement Assistance, Job Training",1113 E FRANKLIN AVE STE 212,MINNEAPOLIS,MN,55404-2966,https://www.facebook.com/SEARCH.MN.org/
473832575,Southwest Detroit Immigrant and Refugee Center,I80,Legal Services,174 RIDGE RD,GROSSE PT FRM,MI,48236-3516,https://detimmigrantcenter.com/
462431007,Soutwest Asylum and Migration Institute,P84,"Ethnic, Immigrant Centers, Services",PO BOX 15160,LAS CRUCES,NM,88004-5160,
831211260,Start St. Louis Teens Aid Refugees Today Inc.,T20,Private Grantmaking Foundations,1049 RIDGEWAY MEADOW DR,ELLISVILLE,MO,63021-6088,https://www.facebook.com/STARTSTL/
822055439,Starting Point for Refugee Children,P30,"Children's, Youth Services",2525 ROCK DOVE WAY,ELK GROVE,CA,95757-8153,https://www.startingpointworld.com/
823474506,Students for Refugee Medical Relief,T50,"Philanthropy, Charity, Voluntarism Promotion, General",2508 SW 35TH PL APT 3,GAINESVILLE,FL,32608-3250,https://www.grmruf.org/
202350342,Sudanese Refugee Childrens Foundation Inc.,T12,Fund Raising and/or Fund Distribution,4833 WALKER AVE APT 7,LINCOLN,NE,68504-2823,https://www.facebook.com/SouthSudaneseChildrensFoundation/
825213153,Syrian Refugee Mission of New England Inc.,Q33,International Relief,158 HESPERUS AVE,GLOUCESTER,MA,01930-5206,"https://www.facebook.com/SyrianRefugeeMissionofNewEngland/#:~:text=WCS-,The%20Syrian%20Refugee%20Mission%20of%20New%20England%20of%20St.,bringing%20humanitarian%20and%20medical..."
811159467,Syrian United Refugee Fund Inc.,P60,"Emergency Assistance (Food, Clothing, Cash)",4653 DAVENPORT AVE,OAKLAND,CA,94619-2916,https://syrianunitedrefugeefund.org/
822591748,Teach North Korean Refugees Global Education Center,P20,Human Service Organizations - Multipurpose,1405 S FERN ST 90427,ARLINGTON,VA,22202-2810,https://lovetnkr.org/
200121100,Tennessee Immigrant and Refugee Rights Coalition,R20,"Civil Rights, Advocacy for Specific Groups",2195 NOLENSVILLE PIKE,NASHVILLE,TN,37211-2094,https://www.tnimmigrant.org/
